sentence_id,documento,orden_frase,tema,keyword_detectada,frase_original,frase_normalizada,n_palabras
heraldo_000010,heraldo,10,mujer,mujer,HERALDO DE LA MUJER rrere Feres reFe FILIPINILA ANGELICINAS FARIS BAZAR.,heraldo de la mujer rrere feres refe filipinila angelicinas faris bazar,11
heraldo_000021,heraldo,21,mujer,mujer,Ayuntamiento de Madrid HERALDO DE LA MUJER QUULO JUU HIPIII.,ayuntamiento de madrid heraldo de la mujer quulo juu hipiii,10
heraldo_000033,heraldo,33,mujer,madre,En una las de un madre de umila puertorrieneno debe estar.,en una las de un madre de umila puertorrieneno debe estar,11
heraldo_000036,heraldo,36,mujer,damas,"Las damas que pierden el S cabello con frecuencia, y que quieran lucir una hermosa cabellera, y el que quiera combatir la calvicie, dirijase al señor A.",las damas que pierden el s cabello con frecuencia y que quieran lucir una hermosa cabellera y el que quiera combatir la calvicie dirijase al senor a,27
heraldo_000038,heraldo,38,patria,nacional,"ROQUE, hotel Nacional, San Juan, y los dejará complacidos.",roque hotel nacional san juan y los dejara complacidos,9
heraldo_000044,heraldo,44,mujer,mujer,"HERALDO DE LA MUJER Ayuntamiento de Madrid Hace el Hornear en Casa raciCon el auxilio de la ROYAL BARING POUDER se pueden hacer en casa pones y pacimente muras hermanos panecios pasata, el apreciosos y anos de tores que los que pueden comprane en las parecer.",heraldo de la mujer ayuntamiento de madrid hace el hornear en casa racicon el auxilio de la royal baring pouder se pueden hacer en casa pones y pacimente muras hermanos panecios pasata el apreciosos y anos de tores que los que pueden comprane en las parecer,46
heraldo_000044,heraldo,44,hogar,casa,"HERALDO DE LA MUJER Ayuntamiento de Madrid Hace el Hornear en Casa raciCon el auxilio de la ROYAL BARING POUDER se pueden hacer en casa pones y pacimente muras hermanos panecios pasata, el apreciosos y anos de tores que los que pueden comprane en las parecer.",heraldo de la mujer ayuntamiento de madrid hace el hornear en casa racicon el auxilio de la royal baring pouder se pueden hacer en casa pones y pacimente muras hermanos panecios pasata el apreciosos y anos de tores que los que pueden comprane en las parecer,46
heraldo_000049,heraldo,49,mujer,mujer,"N E HILIALDO DE LA MUEL ANTES ALBUM PUERTORRIQUENO Revista Quincenal Bilingue, Defensora de los Derechos de la Mujer DIRECTORA ADMINISTRADORA.—Ana Roqué de Duprey.",n e hilialdo de la muel antes album puertorriqueno revista quincenal bilingue defensora de los derechos de la mujer directora administradora ana roque de duprey,25
heraldo_000049,heraldo,49,feminismo,derechos de la mujer,"N E HILIALDO DE LA MUEL ANTES ALBUM PUERTORRIQUENO Revista Quincenal Bilingue, Defensora de los Derechos de la Mujer DIRECTORA ADMINISTRADORA.—Ana Roqué de Duprey.",n e hilialdo de la muel antes album puertorriqueno revista quincenal bilingue defensora de los derechos de la mujer directora administradora ana roque de duprey,25
heraldo_000072,heraldo,72,mujer,mujer,Davia oray AMONO WOMAN OS LATIN COUNTRIES.............................. y cerardine Mala roscher Representantes de Heraldo de la Mujer.............................,davia oray amono woman os latin countries y cerardine mala roscher representantes de heraldo de la mujer,17
