revista,lda_topic_number,lda_topic_name,lda_keywords,lex_matched_voyant_idx,lex_matched_voyant_keywords,lex_match_lex_score,lex_match_emb_score,emb_matched_voyant_idx,emb_matched_voyant_keywords,emb_match_lex_score,emb_match_emb_score
Filipinas,1,Educación y enseñanza de la mujer,"educación, enseñanza, niñas, instrucción, razón, moralidad, madre, conocimientos",2,"hombre, educación, supo, despertar, mujeres, vida, conocen, guanajuato, ve, cascabel",0.1118,0.8446,3,"impulsos, hábito, enseñanza, termina, sitio, poderoso, niños, principios, fabricados, dignos",0.1118,0.8858
Filipinas,2,Maternidad e higiene infantil,"niños, hijos, robustos, salud, alimento, harina, lacteada, nestle",3,"impulsos, hábito, enseñanza, termina, sitio, poderoso, niños, principios, fabricados, dignos",0.1118,0.8591,1,"mujer, ciencia, vida, mulas, pepe, palabra, tumba, querida, niño, mes",0.0,0.8935
Fémina,3,El hogar y la familia,"casa, hogar, mujer, sabia, familia, conducta, costumbres, felicidad",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.1118,0.8703,8,"aparece, dulce, familia, desarrollo, aliento, sagrada, insigne, campo, pensamiento, cívica",0.1118,0.9103
Fémina,4,Feminismo e intelectualidad moderna,"espíritu, moderno, intelectual, progresivos, ciencia, arte, masculinización, civilizada",4,"fémina, hombres, intelectual, palabra, república, melancolía, almas, elocuente, aspiraciones, glorioso",0.1118,0.9024,4,"fémina, hombres, intelectual, palabra, república, melancolía, almas, elocuente, aspiraciones, glorioso",0.1118,0.9024
Filipinas,5,Narrativa y literatura,"tumba, melancolía, amor, vida, sepulcro, historia, poética, leyendas",1,"mujer, ciencia, vida, mulas, pepe, palabra, tumba, querida, niño, mes",0.2236,0.9274,0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.1118,0.93
Fémina,6,Dignidad del trabajo,"trabajo, dignifica, pobre, miseria, económica, jornal, honrada, perseverancia",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.0,0.8365,5,"ideas, queda, produce, mañana, amor, viajero, sér, mordido, informaciones, apoyos",0.0,0.8834
Filipinas,7,Noticias y crónica social,"manila, miércoles, septiembre, administración, provincias, fallecimiento, nombramiento, suscriptores",6,"ferrocarril, manila, instinto, abanicos, rodean, necesita, agricultor, paulo, hijos, necesidad",0.1118,0.8621,1,"patria, revista, pueblo, petronila, noche, sociedad, compleja, fundar, distinción, 1922",0.0,0.8877
Fémina,8,Conocimientos útiles y hogar,"limpieza, manchas, cocina, hierro, seda, bordado, recetas, higiene",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.0,0.7753,1,"mujer, ciencia, vida, mulas, pepe, palabra, tumba, querida, niño, mes",0.0,0.8406
Fémina,1,Patriotismo y soberanía nacional,"patria, soberanía, libertad, imperialismo, nacional, independencia, derecho, cívica",9,"dominicana, libertad, tierra, mundo, fuerzas, querido, inteligente, culto, levanta, nacional",0.2236,0.8676,9,"dominicana, libertad, tierra, mundo, fuerzas, querido, inteligente, culto, levanta, nacional",0.2236,0.8676
Fémina,2,Feminismo y derechos de la mujer,"feminismo, voto, sufragio, igualdad, emancipación, consciente, ciudadana, capacidad",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.0,0.8322,9,"dominicana, libertad, tierra, mundo, fuerzas, querido, inteligente, culto, levanta, nacional",0.0,0.8625
Fémina,3,Poesía y literatura,"versos, alma, corazón, ensueño, lírica, rima, tristeza, musa",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.1118,0.9232,0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.1118,0.9232
Fémina,4,Perfeccionamiento del hogar,"hogar, madre, educación, cultura, moral, niños, disciplina, virtudes",6,"hogar, cultura, noble, edificio, atraviesa, evolución, página, santo, hagan, sana",0.2236,0.8412,8,"aparece, dulce, familia, desarrollo, aliento, sagrada, insigne, campo, pensamiento, cívica",0.0,0.8587
Fémina,5,Religión y fe,"coronación, virgen, altagracia, fe, catolicismo, oración, gracia, dios",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.0,0.8446,0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.0,0.8446
Fémina,6,Crónica social y obituarios,"fallecimiento, boda, esponsales, entierro, funerales, aniversario, banquete, saludos",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.0,0.8201,8,"aparece, dulce, familia, desarrollo, aliento, sagrada, insigne, campo, pensamiento, cívica",0.0,0.8228
Fémina,7,Salud y beneficencia,"tuberculosis, caridad, pobres, enfermos, hospital, desvalidos, sanidad, médico",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.0,0.7408,5,"ideas, queda, produce, mañana, amor, viajero, sér, mordido, informaciones, apoyos",0.0,0.7436
