sentence_id,documento,orden_frase,frase_original,frase_normalizada,n_palabras
heraldo_000001,heraldo,1,"Ayuntamiento de Madrid Te CIO de el Estada por la A, pograta, mumaA La mas materna a la maen, P.",ayuntamiento de madrid te cio de el estada por la a pograta mumaa la mas materna a la maen p,20
heraldo_000003,heraldo,3,N No mo ESPINOLENGLIS Sra.,n no mo espinolenglis sra,5
heraldo_000004,heraldo,4,Toseta anano de entura COMPOSITORA Y PIANISTA PUERTORRIQUENA.,toseta anano de entura compositora y pianista puertorriquena,8
heraldo_000005,heraldo,5,"DOS MIL INSTRUMENTOS vendidos en vente anos de representación seguran el Cuanpronato en puerto Rico de la acreditada marca Knoler s ampel, de fama mundial. acabo de recibre 15 instrumentos y uno de ellos puede ser suvo.",dos mil instrumentos vendidos en vente anos de representacion seguran el cuanpronato en puerto rico de la acreditada marca knoler s ampel de fama mundial acabo de recibre 15 instrumentos y uno de ellos puede ser suvo,37
heraldo_000006,heraldo,6,Dirijase a T.,dirijase a t,3
heraldo_000008,heraldo,8,"Luna él, La mejor de Humaca y la más moderna.",luna el la mejor de humaca y la mas moderna,10
heraldo_000009,heraldo,9,"Este taller cuenta con todo lo necesario para hacer sus trabajos completemente impios y elegantes, con rapiden y a cualquier hora que se degre. siendo la primera en establecer las competencia, no hay nadie que compita con sus precios. impresos a varias tintas es nuestra especialidad.",este taller cuenta con todo lo necesario para hacer sus trabajos completemente impios y elegantes con rapiden y a cualquier hora que se degre siendo la primera en establecer las competencia no hay nadie que compita con sus precios impresos a varias tintas es nuestra especialidad,46
heraldo_000010,heraldo,10,HERALDO DE LA MUJER rrere Feres reFe FILIPINILA ANGELICINAS FARIS BAZAR.,heraldo de la mujer rrere feres refe filipinila angelicinas faris bazar,11
heraldo_000013,heraldo,13,SAN JUAN PR instantemente recibimos las últimas novedades en TRA FALDAS.,san juan pr instantemente recibimos las ultimas novedades en tra faldas,11
heraldo_000016,heraldo,16,BATAS Y SOMBREROS.,batas y sombreros,3
heraldo_000017,heraldo,17,De los filtimos estilos y modelos de gran fantasía.,de los filtimos estilos y modelos de gran fantasia,9
heraldo_000018,heraldo,18,En ropa interior tenemos un buen surtido.,en ropa interior tenemos un buen surtido,7
heraldo_000019,heraldo,19,Especialidad en Camisas de Hilo Españolas Bordadas y cosidas a mano.,especialidad en camisas de hilo espanolas bordadas y cosidas a mano,11
heraldo_000020,heraldo,20,Gran variedad en objetos para Regalos rrera rrera CORRETRONISTRACIALACE N Fianos y HIGRATOS IIFUURAFIA VICIURIA 2 ES.,gran variedad en objetos para regalos rrera rrera corretronistracialace n fianos y higratos iifuurafia viciuria 2 es,17
heraldo_000021,heraldo,21,Ayuntamiento de Madrid HERALDO DE LA MUJER QUULO JUU HIPIII.,ayuntamiento de madrid heraldo de la mujer quulo juu hipiii,10
heraldo_000022,heraldo,22,ALIII. a vor drugestorre connecons or despreadatienal facilities THE inviles von to become one oí ts patrons.,aliii a vor drugestorre connecons or despreadatienal facilities the inviles von to become one oi ts patrons,17
heraldo_000023,heraldo,23,"Situated in the heart of the civ, managed bo he moste expert ngarmacist of his districandusingonl best drugs obtamable, his Pharmaco is speciall fited to fil vor prescriptions, of hich me mate a specialito.",situated in the heart of the civ managed bo he moste expert ngarmacist of his districandusingonl best drugs obtamable his pharmaco is speciall fited to fil vor prescriptions of hich me mate a specialito,34
heraldo_000025,heraldo,25,HIMERICAIN FIARIMA on NOYA HERNANDEZ ST.,himericain fiarima on noya hernandez st,6
heraldo_000026,heraldo,26,ESELLAS SABISABRABAS MERA PRIMER.,esellas sabisabrabas mera primer,4
heraldo_000028,heraldo,28,Sufre Usted de Dolor de Cabeza.,sufre usted de dolor de cabeza,6
heraldo_000031,heraldo,31,"N EN la muun Y I Ne ER las mane ro mente las compano, las FUER REDRE.",n en la muun y i ne er las mane ro mente las compano las fuer redre,17
heraldo_000032,heraldo,32,"Se acabaron los calos — a muerenerales. le: En la mo una una en el anuestra es una puenas ma ener melas en gustos de la mana, as, aguaman sanEs la historia de Puerto Rico en vominos enaternos puertes, potantos prinesepernuestrador pre caretano cel rue rado en no pues la linado.",se acabaron los calos a muerenerales le en la mo una una en el anuestra es una puenas ma ener melas en gustos de la mana as aguaman sanes la historia de puerto rico en vominos enaternos puertes potantos prinesepernuestrador pre caretano cel rue rado en no pues la linado,50
heraldo_000033,heraldo,33,En una las de un madre de umila puertorrieneno debe estar.,en una las de un madre de umila puertorrieneno debe estar,11
heraldo_000034,heraldo,34,"Los que lo descen quiene a esta Redacción Ayuntamiento de Madrid Maravillosa preparación inofensiva, hecha con plantas del país.",los que lo descen quiene a esta redaccion ayuntamiento de madrid maravillosa preparacion inofensiva hecha con plantas del pais,19
heraldo_000035,heraldo,35,Balsamo No I. 2 y 3.,balsamo no i 2 y 3,6
heraldo_000036,heraldo,36,"Las damas que pierden el S cabello con frecuencia, y que quieran lucir una hermosa cabellera, y el que quiera combatir la calvicie, dirijase al señor A.",las damas que pierden el s cabello con frecuencia y que quieran lucir una hermosa cabellera y el que quiera combatir la calvicie dirijase al senor a,27
heraldo_000038,heraldo,38,"ROQUE, hotel Nacional, San Juan, y los dejará complacidos.",roque hotel nacional san juan y los dejara complacidos,9
heraldo_000039,heraldo,39,Boletín Histórico de P.,boletin historico de p,4
heraldo_000041,heraldo,41,LEVADURA EN POLVO A Una preparación perfecta para mejorar todos los alimentos hechos con harina.,levadura en polvo a una preparacion perfecta para mejorar todos los alimentos hechos con harina,15
heraldo_000042,heraldo,42,De venta en todas las bodegas.,de venta en todas las bodegas,6
heraldo_000043,heraldo,43,La famosa Royal Baking Pouder americana.,la famosa royal baking pouder americana,6
heraldo_000044,heraldo,44,"HERALDO DE LA MUJER Ayuntamiento de Madrid Hace el Hornear en Casa raciCon el auxilio de la ROYAL BARING POUDER se pueden hacer en casa pones y pacimente muras hermanos panecios pasata, el apreciosos y anos de tores que los que pueden comprane en las parecer.",heraldo de la mujer ayuntamiento de madrid hace el hornear en casa racicon el auxilio de la royal baring pouder se pueden hacer en casa pones y pacimente muras hermanos panecios pasata el apreciosos y anos de tores que los que pueden comprane en las parecer,46
heraldo_000045,heraldo,45,Convencanse probando la receta siguiente.,convencanse probando la receta siguiente,5
heraldo_000046,heraldo,46,"BICOCHOS ROTAL BARING PODER anas de harina encaradas de manera otra GRA RONAL mas APINASE la de leche Panarada de la Ciernanse juntos los ingredientes secos agreguesele la manteca y otra grasa y ener la este sumanes por agres una a a que meras en las cos mas cana aurorada de marnada, en a mora, en arcano pensana va por en estente de en es nos El Manual Roval del Panadero y pastelero, conteniendo muenas otras recenas de enviara por correo gratis a toda persona que nos mande su nombre y rección.",bicochos rotal baring poder anas de harina encaradas de manera otra gra ronal mas apinase la de leche panarada de la ciernanse juntos los ingredientes secos agreguesele la manteca y otra grasa y ener la este sumanes por agres una a a que meras en las cos mas cana aurorada de marnada en a mora en arcano pensana va por en estente de en es nos el manual roval del panadero y pastelero conteniendo muenas otras recenas de enviara por correo gratis a toda persona que nos mande su nombre y reccion,92
heraldo_000047,heraldo,47,"Si la bodega donde Ua, compra no vende la levadura en polvo Royal, escribanos y de airemos donde puede conseguiria.",si la bodega donde ua compra no vende la levadura en polvo royal escribanos y de airemos donde puede conseguiria,20
heraldo_000048,heraldo,48,"RONAL BARING PONDER CO, New York, USA.",ronal baring ponder co new york usa,7
