sentence_id,documento,orden_frase,tema,keyword_detectada,frase_original,frase_normalizada,n_palabras,n_positivo,n_negativo,polaridad_bruta,polaridad_normalizada,etiqueta_polaridad,palabras_positivas_detectadas,palabras_negativas_detectadas
heraldo_000128,heraldo,128,colonialismo,estados unidos,"El mundo acaba de contemplar la terminación de la quera mas eruenta humana enciosa de la metuna de las en esencias no se ha esenta un solo habitante de la para sonas ques que ha panas no se numano, porportas de esos que estuviera de la contenta la venta que gente la enrieron arres en el maron casto de mas y menoreseampanadesparada mina a la mpues el gran numero repues de repes de agunane muere en na sino las de muy el mundo ante la purenes de prilena plantes de en los camposas usana europeos reinara espreer se apara la empera; ba eran del estaban cometiendo las naciones pera. los abstenciones unas ante en la anuienda en espeEn el mar amenarana entrar pero los Estados Unidos acorison sus unaciones eurosas y en pueron en el unos y con un entusiasus una eterninacionespera. los por las menes santinan de la ensar maner en espada espacio de la palabra via empera que al de ella ramarines establecida en unos los corazones mujer las mujer los que es mas emosinante mujer de genenes unas que el puesto en que esta nación pago ese serinpredentoren pensar de la unamina.",el mundo acaba de contemplar la terminacion de la quera mas eruenta humana enciosa de la metuna de las en esencias no se ha esenta un solo habitante de la para sonas ques que ha panas no se numano porportas de esos que estuviera de la contenta la venta que gente la enrieron arres en el maron casto de mas y menoreseampanadesparada mina a la mpues el gran numero repues de repes de agunane muere en na sino las de muy el mundo ante la purenes de prilena plantes de en los camposas usana europeos reinara espreer se apara la empera ba eran del estaban cometiendo las naciones pera los abstenciones unas ante en la anuienda en espeen el mar amenarana entrar pero los estados unidos acorison sus unaciones eurosas y en pueron en el unos y con un entusiasus una eterninacionespera los por las menes santinan de la ensar maner en espada espacio de la palabra via empera que al de ella ramarines establecida en unos los corazones mujer las mujer los que es mas emosinante mujer de genenes unas que el puesto en que esta nacion pago ese serinpredentoren pensar de la unamina,195,0,0,0,0.0,neutra,,
heraldo_000197,heraldo,197,colonialismo,estados unidos,¡Quiere V. perindicar á sus alados V. nada puede hacernos en los Estados Unidos.,quiere v perindicar a sus alados v nada puede hacernos en los estados unidos,14,0,0,0,0.0,neutra,,
heraldo_000316,heraldo,316,colonialismo,estados unidos,"Lindsay que acababa de llegar de la liberal Insaterra, donde se celebran en los parques los grandes mestinos, se sintio consternado al verque de arrestaba a aquel grupo de mujeres porque protestaban de que el senado de los Estados Unidos no le diese la demogracia que merecian los que ostentaban sobre su pecho las estrelas de servicio. que acreditaban que sus hijos o que sus esposos estaban pelcando por esa democracia, en prancia.",lindsay que acababa de llegar de la liberal insaterra donde se celebran en los parques los grandes mestinos se sintio consternado al verque de arrestaba a aquel grupo de mujeres porque protestaban de que el senado de los estados unidos no le diese la demogracia que merecian los que ostentaban sobre su pecho las estrelas de servicio que acreditaban que sus hijos o que sus esposos estaban pelcando por esa democracia en prancia,73,0,0,0,0.0,neutra,,
heraldo_000333,heraldo,333,colonialismo,colonial,"Este apreciable joven, hijo de nuestra genial Tena, ha sido nombrado prector del panco Colonial de Mayaguez.",este apreciable joven hijo de nuestra genial tena ha sido nombrado prector del panco colonial de mayaguez,17,0,0,0,0.0,neutra,,
heraldo_000538,heraldo,538,colonialismo,estados unidos,"Usten notará que después de la primera eleccon proves que las intras caricaciones pequeridas a los vatantes es que sean ciudadanos Esto naturalmente incluye a las mujeres que son ciudadanas de los Estados Unidos de al años o más puesto que la palabra varón no la sido especiacada Hay una provisión adicional, que los votantes tendrán caligenciones que puedan ser presriotas por la Lesilatura de Puerto Rico.",usten notara que despues de la primera eleccon proves que las intras caricaciones pequeridas a los vatantes es que sean ciudadanos esto naturalmente incluye a las mujeres que son ciudadanas de los estados unidos de al anos o mas puesto que la palabra varon no la sido especiacada hay una provision adicional que los votantes tendran caligenciones que puedan ser presriotas por la lesilatura de puerto rico,67,0,0,0,0.0,neutra,,
heraldo_000539,heraldo,539,colonialismo,estados unidos,"Es ni minión que bajo esta provisión las mujeres de al años o más ciudadanas de los Estados Unidos en puerto Rico tienen derecho de suprecios menos que le hata sin o le en negado ellas por la Legislatura de Puerto Rico Sinceramente suyo, Miles Poindexter.",es ni minion que bajo esta provision las mujeres de al anos o mas ciudadanas de los estados unidos en puerto rico tienen derecho de suprecios menos que le hata sin o le en negado ellas por la legislatura de puerto rico sinceramente suyo miles poindexter,46,0,0,0,0.0,neutra,,
heraldo_000720,heraldo,720,colonialismo,estados unidos,"No hubiera hecho menos muromía, y enán tiempo, cuando pancia y Estados Unidos. gala de amoremos mentos derechos.",no hubiera hecho menos muromia y enan tiempo cuando pancia y estados unidos gala de amoremos mentos derechos,18,0,0,0,0.0,neutra,,
heraldo_001008,heraldo,1008,colonialismo,estados unidos,"En nombre de todas las esposas y madres, queremos que la Conferencia intervenga y obligue inmediatamente a los que son responsables a poner término al infame trato a que están sometidas las mujeres de Rusia? ESCASAS PROBABILIDADES DE QUE VISON SEA REELECIDO Según comunican de Londres, se cree que en las futuras elecciones presidenciales de los Estados Unidos, Wilson cuenta con pocas probabilidades de ser relegido.",en nombre de todas las esposas y madres queremos que la conferencia intervenga y obligue inmediatamente a los que son responsables a poner termino al infame trato a que estan sometidas las mujeres de rusia escasas probabilidades de que vison sea reelecido segun comunican de londres se cree que en las futuras elecciones presidenciales de los estados unidos wilson cuenta con pocas probabilidades de ser relegido,66,0,0,0,0.0,neutra,,
heraldo_001011,heraldo,1011,colonialismo,estados unidos,La próxima elección presidencial de los Estados Unidos EL DOCTOR TURELL.,la proxima eleccion presidencial de los estados unidos el doctor turell,11,0,0,0,0.0,neutra,,
heraldo_001034,heraldo,1034,colonialismo,estados unidos,"Lluvia de Cenizas en los Estados Unidos El 9 de marzo de 1918 se observó una lluvia de cenizas en Ihowa, Wisconsin y Michigan, y aún hacia el este alcanzaron a Vermont, cubriendo una superficie de más de 250,009 kilómetros.",lluvia de cenizas en los estados unidos el 9 de marzo de 1918 se observo una lluvia de cenizas en ihowa wisconsin y michigan y aun hacia el este alcanzaron a vermont cubriendo una superficie de mas de 250 009 kilometros,41,0,0,0,0.0,neutra,,
