revista,lda_topic_number,lda_topic_name,lda_keywords,lex_matched_voyant_idx,lex_matched_voyant_keywords,lex_match_lex_score,lex_match_emb_score,emb_matched_voyant_idx,emb_matched_voyant_keywords,emb_match_lex_score,emb_match_emb_score
Heraldo de la Mujer,1,Feminismo y Sufragio,"derechos, sufragio, mujer, feminista, voto, emancipación, justicia, reivindicación",2,"rico, puerto, mujer, mujeres, duprey, sra, san, ana, señora, señor, piedras, americana, roque, don, dr, puertorriqueña, amigo, derechos, hostos, srta",0.1581,0.8189,5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.0791,0.862
Fémina,2,Estatus Político y Patriotismo,"patria, independencia, libertad, pueblo, nación, soberanía, gobierno, puertorriqueña",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.2372,0.7803,4,"mujeres, república, liga, américa, internacional, colón, hispano, luz, mundo, país, york, servicio, españa, puerto, new, carga, años, rico, punto, literarios",0.0,0.8189
Fémina,3,Literatura y Poesía,"poesía, versos, rimas, alma, leyenda, corazón, musa, prosa",7,"amor, alma, vida, ojos, corazón, dulce, luz, sol, cielo, dios, flores, triste, noche, mar, labios, luna, frente, dolor, tí, flor",0.1581,0.9203,1,"vida, naturaleza, amor, hombre, alma, cielo, tierra, mos, dores, estudio, hermosa, poeta, poetas, suelo, obras, luz, mente, dolor, poesía, pre",0.1581,0.9533
Filipinas,4,Educación y Cultura,"instrucción, escuela, maestro, universidad, estudios, conocimientos, cultura, inteligencia",1,"fuerza, mujer, vida, palabra, camino, ciencia, mujeres, inteligencia, página, razón, quiero, naturaleza, sér, ideal, antigua, costumbres, entusiasmo, sentimiento, graciosa, razon",0.0791,0.8521,9,"años, niños, escuelas, pobres, movimiento, música, ninos, mente, materia, aguas, siglo, libertad, sociedad, viene, paso, nación, conernico, pen, canta, orgullo",0.0,0.8608
Filipinas,5,Hogar y Modas,"modas, trajes, telas, receta, harina, bordados, blanco, seda",3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.0791,0.9218,6,"mar, don, labios, ojos, mañana, manos, mano, amor, vo, vida, irma, noche, pies, blanca, joven, encanto, hermosa, sombra, flores, pecho",0.0,0.9403
Heraldo de la Mujer,6,Salud y Bienestar,"niños, pobres, tuberculosis, caridad, beneficencia, salud, enfermos, protección",9,"años, niños, escuelas, pobres, movimiento, música, ninos, mente, materia, aguas, siglo, libertad, sociedad, viene, paso, nación, conernico, pen, canta, orgullo",0.1581,0.7967,5,"mujer, años, ve, hombre, débiles, ricos, gastado, defecto, personas, enfermedad, mr, desespereis, pueblo, mundo, talento, moral, guanajuato, ciudad, méxico, vida",0.0,0.8287
Fémina,7,Vida Social,"maridaje, social, viajeros, felicitación, boda, fiesta, regreso, distinguida",5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.0791,0.9182,0,"mujer, mujeres, vida, mundo, hombres, hombre, pueblo, progreso, amor, tierra, derecho, pueblos, alma, patria, dios, madre, humanidad, moderna, nombre, años",0.0,0.9237
Fémina,8,Crónica Internacional,"guerra, mundo, naciones, prensa, tratado, alemania, europa, estados",0,"noche, casa, oro, pauna, velas, tannas, manos, puerta, guerra, paso, cara, cabeza, viejo, hombre, voz, campo, orilla, medalla, cosa, mano",0.0791,0.8477,4,"mujeres, república, liga, américa, internacional, colón, hispano, luz, mundo, país, york, servicio, españa, puerto, new, carga, años, rico, punto, literarios",0.0791,0.9132
Fémina,1,Educación y Moral,"educación, instrucción, virtud, maestra, enseñanza, moralidad, estudio, carácter",9,"petronila, gomez, mujer, maestra, angelica, literatura, normal, ciencias, nación, artes, revista, consagrada, hemeroteca, femina, casa, niklos, paula, música, parque, silencio",0.0791,0.8215,5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.0,0.8397
Filipinas,2,Higiene y Salud,"higiene, salud, medicina, enfermedades, cuidado, limpieza, agua, cuerpo",3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.1581,0.8596,3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.1581,0.8596
Filipinas,3,Economía Doméstica,"casa, luto, cocina, costura, labores, receta, hogar, económica",0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.1581,0.877,8,"nombre, retrato, detalle, casa, padre, material, pueblo, centavos, vender, cuarta, genio, cremas, fama, construcción, muchacha, cantidad, precio, artículos, plomería, sport",0.0791,0.9027
Fémina,4,Literatura y Leyendas,"leyenda, historia, cuento, literaria, prosa, página, tristeza, tradición",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.0791,0.9277,2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.0791,0.9277
Filipinas,5,Infancia y Crianza,"niño, madre, hijo, alimento, cuna, leche, nodrizas, sangol",0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.1581,0.8997,9,"pepita, descubrir, alimento, conocen, pueblo, has, conservativo, acaban, nombre, querida, cosa, niña, pudor, nutritivo, oro, casa, pensar, gramos, reconstituyente, san",0.0791,0.9246
Filipinas,6,Feminismo y Rol Social,"espíritu, moderno, influencia, intelectual, derechos, compañera, belleza, acción",0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.1581,0.9006,1,"fuerza, mujer, vida, palabra, camino, ciencia, mujeres, inteligencia, página, razón, quiero, naturaleza, sér, ideal, antigua, costumbres, entusiasmo, sentimiento, graciosa, razon",0.0,0.9439
Fémina,7,Crónica Social,"boda, fiesta, noticia, semana, compañía, pueblo, manila, nacional",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.0791,0.8972,4,"mujeres, república, liga, américa, internacional, colón, hispano, luz, mundo, país, york, servicio, españa, puerto, new, carga, años, rico, punto, literarios",0.0,0.9358
Fémina,8,Comercio y Avisos,"vende, precio, bazar, alhajas, maquinas, anuncio, calidad, barato",8,"nombre, retrato, detalle, casa, padre, material, pueblo, centavos, vender, cuarta, genio, cremas, fama, construcción, muchacha, cantidad, precio, artículos, plomería, sport",0.0791,0.9207,8,"nombre, retrato, detalle, casa, padre, material, pueblo, centavos, vender, cuarta, genio, cremas, fama, construcción, muchacha, cantidad, precio, artículos, plomería, sport",0.0791,0.9207
Heraldo de la Mujer,1,Literatura y Poesía,"poesía, versos, alma, ritmo, lirica, bardo, rimas, ensueño",1,"vida, naturaleza, amor, hombre, alma, cielo, tierra, mos, dores, estudio, hermosa, poeta, poetas, suelo, obras, luz, mente, dolor, poesía, pre",0.1581,0.9578,1,"vida, naturaleza, amor, hombre, alma, cielo, tierra, mos, dores, estudio, hermosa, poeta, poetas, suelo, obras, luz, mente, dolor, poesía, pre",0.1581,0.9578
Fémina,2,Patriotismo y Soberanía,"patria, libertad, nacional, republica, soberanía, derecho, independencia, pueblo",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.2372,0.8379,4,"mujeres, república, liga, américa, internacional, colón, hispano, luz, mundo, país, york, servicio, españa, puerto, new, carga, años, rico, punto, literarios",0.0,0.8654
Filipinas,3,Feminismo e Intelectualidad,"mujer, cultura, intelectual, civilización, educación, capacidad, emancipación, pensamiento",0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.1581,0.8603,9,"años, niños, escuelas, pobres, movimiento, música, ninos, mente, materia, aguas, siglo, libertad, sociedad, viene, paso, nación, conernico, pen, canta, orgullo",0.0,0.8968
