sentence_id,documento,orden_frase,frase_original,frase_normalizada,n_palabras,n_positivo,n_negativo,polaridad_bruta,polaridad_normalizada,etiqueta_polaridad,palabras_positivas_detectadas,palabras_negativas_detectadas
filipinas_000001,filipinas,1,"A SEMANARIO ILUSTRADO DE CIENCIAS, LITERATURA, BELLAS ARTES, MEDICINAS CASERAS, HIGIENE Y CONOCIMIENTOS UTILES A LA VIDA PRÁCTICA.",a semanario ilustrado de ciencias literatura bellas artes medicinas caseras higiene y conocimientos utiles a la vida practica,18,5,0,5,0.2777777777777778,positiva,bellas; ciencias; ilustrado; utiles; vida,
filipinas_000002,filipinas,2,"DEDICADO EXCLUSIVAMENTE A LA MUJER La mujer sabla edifica de la nada su casa; mas la mujer Insensata lejos de edificar una casa que no existe, destruye con sus manos la que existe ya. (Prov.",dedicado exclusivamente a la mujer la mujer sabla edifica de la nada su casa mas la mujer insensata lejos de edificar una casa que no existe destruye con sus manos la que existe ya prov,35,0,0,0,0.0,neutra,,
filipinas_000003,filipinas,3,"XVIII SALE Á LUZ LOS DÍAS S, 15, 22 Y FIN DE CADA MES.",xviii sale a luz los dias s 15 22 y fin de cada mes,14,1,0,1,0.07142857142857142,positiva,luz,
filipinas_000004,filipinas,4,"Directora, CONSTANCIA POBLETE—Tel., 934—DIRECCION TELEGRAFICA FILIPINAS—Admra, FRANCISCA GESMUNDO Precios de subscripción:—PO.30 al mes en Manila, y P1.20 trimestre en provincias.—Pago adelantado.",directora constancia poblete tel 934 direccion telegrafica filipinas admra francisca gesmundo precios de subscripcion po 30 al mes en manila y p1 20 trimestre en provincias pago adelantado,28,0,0,0,0.0,neutra,,
filipinas_000007,filipinas,7,"F., Miércoles, S de Septiembre de 1909.",f miercoles s de septiembre de 1909,7,0,0,0,0.0,neutra,,
filipinas_000009,filipinas,9,"LA EDUCACION Y LA ENSEÑANZA EN LA MUJER Es imposible poner en duda la incompatibilidad de principios que constituyen la educación, porque si bien es cierto que en nuestros colegios se enseña el catecismo, se hacen aprender de memorin tratados de ética, también lo que es que las costumbres están en contradicción en los preceptos más generales de la verdadera moralidad.",la educacion y la ensenanza en la mujer es imposible poner en duda la incompatibilidad de principios que constituyen la educacion porque si bien es cierto que en nuestros colegios se ensena el catecismo se hacen aprender de memorin tratados de etica tambien lo que es que las costumbres estan en contradiccion en los preceptos mas generales de la verdadera moralidad,61,4,0,4,0.06557377049180328,positiva,bien; educacion; ensenanza,
filipinas_000010,filipinas,10,"La educación pues, que se dá á la niña es más incompleta, si cabe, que la dada á los niños, á nesar de que ella necesita más fortificar su débil razón para que pudiese portarse con verdadero discernimiento.",la educacion pues que se da a la nina es mas incompleta si cabe que la dada a los ninos a nesar de que ella necesita mas fortificar su debil razon para que pudiese portarse con verdadero discernimiento,38,2,1,1,0.02631578947368421,positiva,educacion; razon,debil
filipinas_000011,filipinas,11,"A más de ser incompleta, es contradictoria de todo punto con la conducta que debe segnir en el mundo, de suerte que la mujer entra en la vida relativa cabalmente con todas las ideas contrarias á la realidad de su dostino; y únienmente la vanidad, que es un cualidad natural de la mujer y que bien cultivada podría ser origen de grandes virtudes y abnegaciones se fomenta con exageración haciendo pasar á la niña los límites que podrían convenir á su felicidad y á la de los séres que la rodean en el seno de la familia.",a mas de ser incompleta es contradictoria de todo punto con la conducta que debe segnir en el mundo de suerte que la mujer entra en la vida relativa cabalmente con todas las ideas contrarias a la realidad de su dostino y unienmente la vanidad que es un cualidad natural de la mujer y que bien cultivada podria ser origen de grandes virtudes y abnegaciones se fomenta con exageracion haciendo pasar a la nina los limites que podrian convenir a su felicidad y a la de los seres que la rodean en el seno de la familia,97,4,1,3,0.030927835051546393,positiva,bien; felicidad; vida; virtudes,contradictoria
filipinas_000012,filipinas,12,No pretendemos la gloria de reformistas ni de innovadoras.,no pretendemos la gloria de reformistas ni de innovadoras,9,1,0,1,0.1111111111111111,positiva,gloria,
filipinas_000013,filipinas,13,"De consiguiente, no aconsejaremos á las de nuestra sexo que se revelen contra semejante estado de cosas, porque no son ellas, no somos nosotras las que hemos de corregir tales errores.",de consiguiente no aconsejaremos a las de nuestra sexo que se revelen contra semejante estado de cosas porque no son ellas no somos nosotras las que hemos de corregir tales errores,31,0,0,0,0.0,neutra,,
