revista,número-tópico,nombre-tópico,palabras-clave,porcentaje-presencia
Heraldo de la Mujer,1,Derechos Políticos y Sufragio,"voto, derechos, feminista, sufragio, ley, legislatura, ciudadana, igualdad",20%
Heraldo de la Mujer,2,Status Político de Puerto Rico,"independencia, estatus, nación, gobierno, patria, unión, pueblo, política",20%
Heraldo de la Mujer,3,Educación e Instrucción,"instrucción, escuela, maestros, intelectual, cultura, estudio, conocimientos, ciencia",15%
Heraldo de la Mujer,4,Literatura y Crítica,"poesía, versos, literatura, novela, prosista, autor, alma, ritmo",15%
Heraldo de la Mujer,5,Ciencia y Astronomía,"astronomía, planetas, estrellas, temblores, ciencia, tierra, atracción, universo",10%
Heraldo de la Mujer,6,Acción Social y Caridad,"beneficencia, niños, pobres, sociedad, huerfanos, caridad, asilo, protección",10%
Heraldo de la Mujer,7,Modas y Hogar,"modas, trajes, telas, hogar, cocina, receta, comercio, anuncios",5%
Heraldo de la Mujer,8,Crónica Social,"bodas, fallecimiento, regreso, social, visita, felicitación, familia, huesped",5%
Filipinas,1,Educación y Moralidad,"educación, enseñanza, niños, escuela, maestra, instrucción, estudio, moral",25%
Filipinas,2,Economía Doméstica,"hogar, familia, casa, cocina, limpieza, habilidades, economía, hábito",20%
Filipinas,3,Rol Social de la Mujer,"mujer, feminismo, dignidad, virtud, belleza, espíritu, influencia, compañera",15%
Filipinas,4,Higiene y Medicina Casera,"higiene, salud, enfermedad, remedio, médico, cuidado, limón, dientes",10%
Filipinas,5,Literatura y Leyendas,"leyenda, cuento, poesía, literaria, historia, corazón, lágrimas, pensamiento",10%
Filipinas,6,Patriotismo,"patria, filipina, héroes, libertad, nación, pueblo, raza, bandera",10%
Filipinas,7,Beneficencia y Salud Pública,"hospital, caridad, enfermeras, beneficencia, socorro, pobres, asilados, donación",5%
Filipinas,8,Comercio y Anuncios,"anuncios, comercio, precio, almacén, bizcochos, máquinas, calzado, reloj",5%
Fémina,1,Patriotismo y Soberanía Nacional,"patria, libertad, soberanía, independencia, derecho, servidumbre, restauración, nacionalidad",25%
Fémina,2,Feminismo e Intelectualidad,"feminismo, intelectual, cultura, evolución, emancipación, derechos, asociación, dignificación",20%
Fémina,3,Creación Literaria y Poesía,"versos, bardo, lira, ritmo, estrofa, novela, poeta, inspiración",15%
Fémina,4,Religión y Coronación de la Altagracia,"virgen, coronación, fe, templo, religión, iglesia, piedad, sagrado",15%
Fémina,5,Hogar y Maternidad,"madre, hogar, hijos, abnegación, familia, sacrificio, niños, corazón",10%
Fémina,6,Necrología y Memoria Histórica,"muerte, fallecimiento, tumba, restos, recuerdo, pésame, vida, memoria",5%
Fémina,7,Vida Social y Banquetes,"bodas, visita, viaje, aniversario, sociedad, huesped, banquete, fiesta",5%
Fémina,8,Pedagogía y Magisterio,"escuela, educación, maestra, ciencia, estudio, instrucción, aula, pedagogía",5%
