sentence_id,documento,orden_frase,frase_original,frase_normalizada,n_palabras,n_positivo,n_negativo,polaridad_bruta,polaridad_normalizada,etiqueta_polaridad,palabras_positivas_detectadas,palabras_negativas_detectadas
femina_000001,femina,1,FÉMINA REVISTA GALANTE Y DE INTERESES GENERALES.,femina revista galante y de intereses generales,7,0,0,0,0.0,neutra,,
femina_000002,femina,2,DIRECTORA ADMINISTRADORA: PETRONILA ANGELICA GOMEZ Maestra Normal.,directora administradora petronila angelica gomez maestra normal,7,0,0,0,0.0,neutra,,
femina_000004,femina,4,"VALERA REYES, PETRONILA A.",valera reyes petronila a,4,0,0,0,0.0,neutra,,
femina_000005,femina,5,"GOMEZ, CONSUELO MONTALVO DE FRIAS.",gomez consuelo montalvo de frias,5,1,0,1,0.2,positiva,consuelo,
femina_000006,femina,6,"Año 1 San Pedro de Macorís, Julio 15 de 1922 No. 1 YA ES HORA.",ano 1 san pedro de macoris julio 15 de 1922 no 1 ya es hora,15,0,0,0,0.0,neutra,,
femina_000007,femina,7,"APARECE esta revista cientificoliteraria y de intereses generales en momentos bien aflictivos para la familia dominicana; aparece cuando sobre el santo suelo de la Patria soplan las ráfagas del mas insólito imperialismo; aparece cuando mas necesaria es una labor de cooperación, y cuando se necesita edificar con acciones y pensamientos de noble civismo y abnegación sin límites.",aparece esta revista cientificoliteraria y de intereses generales en momentos bien aflictivos para la familia dominicana aparece cuando sobre el santo suelo de la patria soplan las rafagas del mas insolito imperialismo aparece cuando mas necesaria es una labor de cooperacion y cuando se necesita edificar con acciones y pensamientos de noble civismo y abnegacion sin limites,57,2,2,0,0.0,neutra,bien; noble,aflictivos; imperialismo
femina_000008,femina,8,"Verdad es que hasta ahora hemos podido, gracias a nuestra conducta loada con calor por los pueblos hermanos enclavados en el vasto continente colombino, impedir los designios, de la fuerza interventora que ha detentado nuestra preciosa soberanía por mas de seis años de dura servidumbre; cierto que a pesar de nuestra disparidad de criterios y de nuestras lamentables desavenencias en el modus procedendi para la reivindicación de nuestros derechos, hemos mantenido en alto la bandera de la rebeldía cívica; cierto, es verdad, todo ello; pero á nadie se le oculta que si hubiera existido un solo pensamiento, una sola acción para el logro de nuestro anhelo nos hubiésemos ahorrado muchos disgustos y no pocos entorpecimientos que han obrado en nuestro daño.",verdad es que hasta ahora hemos podido gracias a nuestra conducta loada con calor por los pueblos hermanos enclavados en el vasto continente colombino impedir los designios de la fuerza interventora que ha detentado nuestra preciosa soberania por mas de seis anos de dura servidumbre cierto que a pesar de nuestra disparidad de criterios y de nuestras lamentables desavenencias en el modus procedendi para la reivindicacion de nuestros derechos hemos mantenido en alto la bandera de la rebeldia civica cierto es verdad todo ello pero a nadie se le oculta que si hubiera existido un solo pensamiento una sola accion para el logro de nuestro anhelo nos hubiesemos ahorrado muchos disgustos y no pocos entorpecimientos que han obrado en nuestro dano,121,0,7,-7,-0.05785123966942149,negativa,,dano; desavenencias; detentado; dura; lamentables; rebeldia; servidumbre
femina_000009,femina,9,"Hemos resistido con gallarda rebeldía; pero sin unidad de acción, sin unidad de pensamientos, sin cooperación disciplinada.",hemos resistido con gallarda rebeldia pero sin unidad de accion sin unidad de pensamientos sin cooperacion disciplinada,17,0,1,-1,-0.058823529411764705,negativa,,rebeldia
femina_000010,femina,10,Negarlo equivaldría á negar lo evidente.,negarlo equivaldria a negar lo evidente,6,0,0,0,0.0,neutra,,
femina_000011,femina,11,"La única identidad nuestra solo ha consistido en oponer como infranqueable valor a los aviesos tanteos del ocupante, nuestra rotunda negativa.",la unica identidad nuestra solo ha consistido en oponer como infranqueable valor a los aviesos tanteos del ocupante nuestra rotunda negativa,21,1,0,1,0.047619047619047616,positiva,valor,
femina_000012,femina,12,Somos el pueblo ...,somos el pueblo,3,0,0,0,0.0,neutra,,
femina_000013,femina,13,"NO, como nos llama la prensa suramericana.",no como nos llama la prensa suramericana,7,0,0,0,0.0,neutra,,
femina_000014,femina,14,"En lo único que hemos estado de común acuerdo, es en no ceder un solo ... metro de nuestros inalienables derechos.",en lo unico que hemos estado de comun acuerdo es en no ceder un solo metro de nuestros inalienables derechos,20,0,0,0,0.0,neutra,,
femina_000015,femina,15,"Pero a nuestro entender eso no basta, ya, preciso procurar poner en juego nuestras actividades colectivas con una orientación exclusiva y absoluta; es preciso tratar de que no haya un solo elemento social que permanezca inactivo en la ardua tarea de romper nuestras cadenas, y de ahí que hayamos concebido el propósito de publicar una revista en que, laborando por la unificación nacional, ofrezca ancho campo a la mujer dominicana, para que tan poderoso agente produzca sin el menor estorbo, su acción fecunda y bienhechora.",pero a nuestro entender eso no basta ya preciso procurar poner en juego nuestras actividades colectivas con una orientacion exclusiva y absoluta es preciso tratar de que no haya un solo elemento social que permanezca inactivo en la ardua tarea de romper nuestras cadenas y de ahi que hayamos concebido el proposito de publicar una revista en que laborando por la unificacion nacional ofrezca ancho campo a la mujer dominicana para que tan poderoso agente produzca sin el menor estorbo su accion fecunda y bienhechora,85,1,3,-2,-0.023529411764705882,negativa,fecunda,ardua; cadenas; estorbo
femina_000016,femina,16,"La mujer nuestra, deseosa de arrimar el hombro á la causa nacional, solo ha podido hasta el presente prestar una ayuda material y secundaria, cuando bien podría con su inteligencia difundir virtud y cultura en las masas populares.",la mujer nuestra deseosa de arrimar el hombro a la causa nacional solo ha podido hasta el presente prestar una ayuda material y secundaria cuando bien podria con su inteligencia difundir virtud y cultura en las masas populares,38,4,0,4,0.10526315789473684,positiva,bien; cultura; inteligencia; virtud,
femina_000017,femina,17,La mujer dominicana merece ocupar en esta hora adversa el puesto intelectual que merece.,la mujer dominicana merece ocupar en esta hora adversa el puesto intelectual que merece,14,0,0,0,0.0,neutra,,
femina_000018,femina,18,"Y ese puesto de insigne distinción, ese lugar señalado para actuar en bien de la libertad y la cultura de su pueblo, viene a brindárselo esta humilde revista.",y ese puesto de insigne distincion ese lugar senalado para actuar en bien de la libertad y la cultura de su pueblo viene a brindarselo esta humilde revista,28,3,0,3,0.10714285714285714,positiva,bien; cultura; libertad,
femina_000019,femina,19,"¡Ojalá que los resultados superen a nuestras esperanzas en honra y bienestar de la Patria! Fémina Página 2 ""LA MUJER"" Para ""Fémina"" MIENTRAS en el corazón de la mujer anide el sentimiento de la Patria, no hay peligro de que desaparezcan las nacionalidades, porque el mundo mas que por las ideas, se rige por los sentimientos.",ojala que los resultados superen a nuestras esperanzas en honra y bienestar de la patria femina pagina 2 la mujer para femina mientras en el corazon de la mujer anide el sentimiento de la patria no hay peligro de que desaparezcan las nacionalidades porque el mundo mas que por las ideas se rige por los sentimientos,56,3,1,2,0.03571428571428571,positiva,bienestar; esperanzas; honra,peligro
femina_000020,femina,20,"Contra la idea, en plena derrota de hacer de la tierra una absurda cooperativa empeñada en borrar las huellas de la historia y el noble prestigio de las razas se levanta el sentimiento patriótico que no rehuye la confraternidad con otros pueblos, pero que tiene de la Patria el alto concepto de que es una ampliación del hogar y pide para ellala inviolabilidad intransigente y sagrada que hace del domicilio un castillo inabordable......",contra la idea en plena derrota de hacer de la tierra una absurda cooperativa empenada en borrar las huellas de la historia y el noble prestigio de las razas se levanta el sentimiento patriotico que no rehuye la confraternidad con otros pueblos pero que tiene de la patria el alto concepto de que es una ampliacion del hogar y pide para ellala inviolabilidad intransigente y sagrada que hace del domicilio un castillo inabordable,73,2,1,1,0.0136986301369863,positiva,noble; sagrada,derrota
femina_000021,femina,21,El hombre recibió siempre la inspiración de sus actos de la exaltación de su culto por la mujer.,el hombre recibio siempre la inspiracion de sus actos de la exaltacion de su culto por la mujer,18,1,0,1,0.05555555555555555,positiva,culto,
femina_000022,femina,22,"¿Qué fue la recompensa del guerrero en todo tiempo, sino el Beso de pasión de unos labios fervorosos y la blanda caricia de reposo en el refugio dee unos brazos amantes? La cálida arenga y la osada aventura, no surgió de la mente exaltada ni del brazo esforzado sino a impulsos de un aliento de mujer.",que fue la recompensa del guerrero en todo tiempo sino el beso de pasion de unos labios fervorosos y la blanda caricia de reposo en el refugio dee unos brazos amantes la calida arenga y la osada aventura no surgio de la mente exaltada ni del brazo esforzado sino a impulsos de un aliento de mujer,56,3,0,3,0.05357142857142857,positiva,aliento; amantes; recompensa,
femina_000023,femina,23,"Porque la mujer amó el heroismo, los hombres fueron héroes, porque la mujer amó la poesía, los hombres cantaron, porque la mujer amó a la Patria, los hombres fueron patriotas, y supieron tener esos bellos gestos que se agrandan y se eternizan en el tiempo La página mas bella en la historia de la independencia de todos los pueblos la escribió siempre la mano blanca y pura de una mujer.",porque la mujer amo el heroismo los hombres fueron heroes porque la mujer amo la poesia los hombres cantaron porque la mujer amo a la patria los hombres fueron patriotas y supieron tener esos bellos gestos que se agrandan y se eternizan en el tiempo la pagina mas bella en la historia de la independencia de todos los pueblos la escribio siempre la mano blanca y pura de una mujer,70,4,0,4,0.05714285714285714,positiva,bella; bellos; heroismo; pura,
femina_000024,femina,24,"El alma de la Patria dominicana, está encarnada en el alma toda abnegación de la mujer dominicana.",el alma de la patria dominicana esta encarnada en el alma toda abnegacion de la mujer dominicana,17,2,0,2,0.11764705882352941,positiva,alma,
femina_000026,femina,26,DE ANGELIS DE CANINO. (María del Mar Caribe) Página 3 Fémina.,de angelis de canino maria del mar caribe pagina 3 femina,11,0,0,0,0.0,neutra,,
femina_000027,femina,27,EVOLUCIÓN O MUERTE.,evolucion o muerte,3,0,1,-1,-0.3333333333333333,negativa,,muerte
femina_000028,femina,28,"FUNDAR una revista o un periódico cosa ni fácil ni compleja, observándolo desde el punto de vista intelectual; pero si se tiene en cuenta nuestro ambiente social, desgraciadamente refractario todavía a defender y á favorecer el desarrollo de esas manifestaciones de cultura; el momento actual de esterilidad económica porque atraviesa la familia dominicana y la opresion que sufrimos bajo cuyo peso gime desde hace seis años la desdichada patria de Febrero, es cuestión árdua y compleja la fundación de uno de esos portavoces de la cultura de los pueblos.",fundar una revista o un periodico cosa ni facil ni compleja observandolo desde el punto de vista intelectual pero si se tiene en cuenta nuestro ambiente social desgraciadamente refractario todavia a defender y a favorecer el desarrollo de esas manifestaciones de cultura el momento actual de esterilidad economica porque atraviesa la familia dominicana y la opresion que sufrimos bajo cuyo peso gime desde hace seis anos la desdichada patria de febrero es cuestion ardua y compleja la fundacion de uno de esos portavoces de la cultura de los pueblos,89,3,7,-4,-0.0449438202247191,negativa,cultura; desarrollo,ardua; desdichada; esterilidad; gime; opresion; peso; refractario
