sentence_id,documento,orden_frase,tema,keyword_detectada,frase_original,frase_normalizada,n_palabras,n_positivo,n_negativo,polaridad_bruta,polaridad_normalizada,etiqueta_polaridad,palabras_positivas_detectadas,palabras_negativas_detectadas
filipinas_001506,filipinas,1506,colonialismo,intervención,"Antes de emprender cualquier negocio ó alguna obra que es necesaria la intervención del esposo, la mujer está obligada á consultarle antes, como tambien participarle sus penas y desazones, sin concitar con ello el ánimo contra la persona que la ha ocasionado la desazón.",antes de emprender cualquier negocio o alguna obra que es necesaria la intervencion del esposo la mujer esta obligada a consultarle antes como tambien participarle sus penas y desazones sin concitar con ello el animo contra la persona que la ha ocasionado la desazon,44,0,1,-1,-0.0227272727272727,negativa,,penas
filipinas_001302,filipinas,1302,colonialismo,colonial,Colonial Vellumn Chiffon de Leime Old Mill Bond Old Mission Linen Old London Plate Dutch Kids Ang mga papel na ito'y siyang mga dapat gamitin sa pag liham nino man.,colonial vellumn chiffon de leime old mill bond old mission linen old london plate dutch kids ang mga papel na ito y siyang mga dapat gamitin sa pag liham nino man,31,0,0,0,0.0,neutra,,
filipinas_001383,filipinas,1383,colonialismo,estados unidos,"CAS Esta dolencia, conocida en medicina con el nombre de unciniaris causa grandes estragos en las provincias del Sur de los Estados Unidos. norreando al mismo tiempo importantes pérdidas económicas.",cas esta dolencia conocida en medicina con el nombre de unciniaris causa grandes estragos en las provincias del sur de los estados unidos norreando al mismo tiempo importantes perdidas economicas,30,0,0,0,0.0,neutra,,
filipinas_001471,filipinas,1471,colonialismo,colonial,Correct Stationery P 1.50 Flemish Finish Lily White Colonial Lawn Colonial Lawn Imperial Erench Fabrie Colonial Velluin Chiffon de Leime Oid Mill Bond Old Mission Linen Old London Plate Dutch Kids Ang mga papel na ito'y siyang mga dapat gamitin sa pag liham nino man.,correct stationery p 1 50 flemish finish lily white colonial lawn colonial lawn imperial erench fabrie colonial velluin chiffon de leime oid mill bond old mission linen old london plate dutch kids ang mga papel na ito y siyang mga dapat gamitin sa pag liham nino man,47,0,0,0,0.0,neutra,,
filipinas_001612,filipinas,1612,colonialismo,estados unidos,"Hace cuatro años tomó parte en las oposiciones oficiales para cubrir las plazas de alumnos pensionados en los Estados Unidos, y con brillante promedio de 94,62 conquistó el cuarto puesto de la lista entre los 47 opositores que fueron aprobados.",hace cuatro anos tomo parte en las oposiciones oficiales para cubrir las plazas de alumnos pensionados en los estados unidos y con brillante promedio de 94 62 conquisto el cuarto puesto de la lista entre los 47 opositores que fueron aprobados,41,0,0,0,0.0,neutra,,
filipinas_001808,filipinas,1808,colonialismo,estados unidos,"Tan ina preciable cualidad que á la ver dad posee y la excelente fortuna que siempre le acompaña propicia, le han hecho subir, con vertiginosa rapidez, desde el modesto cargo de juez de circuito que desempeñaba, has. ta la más alta magistratura de la grande y poderosa república de los Estados Unidos de Amé rica.—¿Pero qué tiene que ver todos esos méritos, esa fortuna y ese encumbramiento de Mr.",tan ina preciable cualidad que a la ver dad posee y la excelente fortuna que siempre le acompana propicia le han hecho subir con vertiginosa rapidez desde el modesto cargo de juez de circuito que desempenaba has ta la mas alta magistratura de la grande y poderosa republica de los estados unidos de ame rica pero que tiene que ver todos esos meritos esa fortuna y ese encumbramiento de mr,70,0,0,0,0.0,neutra,,
filipinas_000844,filipinas,844,colonialismo,ocupación,"La ocupación continua es la que conserva la tranquilidad en el espíritu de la mujer, la que trae una grata calma, y esa alegría igual y dulce que nace de la quietud del ánimo; más el ocio es su cruel enemigo, porque envicia su corazón, embota su entendimiento, hiela sualma y adormece sus buenos instintos.",la ocupacion continua es la que conserva la tranquilidad en el espiritu de la mujer la que trae una grata calma y esa alegria igual y dulce que nace de la quietud del animo mas el ocio es su cruel enemigo porque envicia su corazon embota su entendimiento hiela sualma y adormece sus buenos instintos,55,5,2,3,0.0545454545454545,positiva,alegria; calma; dulce; grata; tranquilidad,cruel; enemigo
filipinas_001359,filipinas,1359,colonialismo,independencia,"Jamás llegaremos á contemplar la refulgonte brillante aurora de la libertad é independencia de nuestra Patria bajo una base sólida si nosotras permaneciéramos, como estamos, indiferentes á todo aquello que signifique levantamiento moral, é intelectual y físico.",jamas llegaremos a contemplar la refulgonte brillante aurora de la libertad e independencia de nuestra patria bajo una base solida si nosotras permanecieramos como estamos indiferentes a todo aquello que signifique levantamiento moral e intelectual y fisico,37,1,0,1,0.027027027027027,positiva,libertad,
filipinas_001824,filipinas,1824,colonialismo,estados unidos,"William H Taft llegará en breve tiempo á ser el primer Magistrado de los Estados Unidos de América, y el cumplimiento de aquel augurio feliz es hoy un hecho. 14 LA REINA DE ESPAÑA.",william h taft llegara en breve tiempo a ser el primer magistrado de los estados unidos de america y el cumplimiento de aquel augurio feliz es hoy un hecho 14 la reina de espana,34,1,0,1,0.0294117647058823,positiva,feliz,
filipinas_001909,filipinas,1909,colonialismo,soberanía,"El niño que se acostumbra á tomar la HARINA LACTEADA NESTLE, jamás aceptará cualquier otro alimento. 30 ""FILIPINAS” Notas del Extranjero Madrid, 31 Febrero 1909 Para honrar á la hermosa soberanía de Italia y premiar su abnegación, con motivo de los terremotos, se ha hecho aquí, en España, algo excepcional: crear una banda para la Orden de Beneficencia y concedérsela juntamente con la Gran Cruz.",el nino que se acostumbra a tomar la harina lacteada nestle jamas aceptara cualquier otro alimento 30 filipinas notas del extranjero madrid 31 febrero 1909 para honrar a la hermosa soberania de italia y premiar su abnegacion con motivo de los terremotos se ha hecho aqui en espana algo excepcional crear una banda para la orden de beneficencia y concedersela juntamente con la gran cruz,65,1,0,1,0.0153846153846153,positiva,hermosa,
filipinas_002106,filipinas,2106,colonialismo,soberanía,"Pero, observad, amigas queridas, que esa influencia, ese predominio, esa soberanía no la ejerce sobre el hombre la mujer, por el prestigio único de sus encantos naturales, no; pues bellas y muy hermosas son las mujeres turcas y circasianas, y aún las egipcias, las nubias, las japonesas, las chinas y otras de cien naciones más, las cuales, no obstante, viven sometidas á ominosa servidumbre por el sexo fuerte.",pero observad amigas queridas que esa influencia ese predominio esa soberania no la ejerce sobre el hombre la mujer por el prestigio unico de sus encantos naturales no pues bellas y muy hermosas son las mujeres turcas y circasianas y aun las egipcias las nubias las japonesas las chinas y otras de cien naciones mas las cuales no obstante viven sometidas a ominosa servidumbre por el sexo fuerte,68,2,1,1,0.0147058823529411,positiva,bellas; hermosas,servidumbre
filipinas_002107,filipinas,2107,colonialismo,soberanía,"Y es que esa especie de soberanía sobre el hombre, la disfrutan las mujeres que han tenido la imponderable dicha de nacer y educarse en el seno verdaderamente civilizador de las naciones cristianas.",y es que esa especie de soberania sobre el hombre la disfrutan las mujeres que han tenido la imponderable dicha de nacer y educarse en el seno verdaderamente civilizador de las naciones cristianas,33,1,0,1,0.0303030303030303,positiva,dicha,
